"","logFC","AveExpr","t","P.Value","adj.P.Val","B","geneid"
"FBgn0014396",-1.53190231122027,6.32795622681013,-28.0062710204682,1.18208445368768e-14,1.55195867924656e-10,23.7737215395586,"FBgn0014396"
"FBgn0038819",2.51945306904999,6.22725968232729,26.9467183466693,2.75954748792844e-14,1.81150494845062e-10,22.9540876128222,"FBgn0038819"
"FBgn0003900",-1.77120925860966,4.19750231231847,-24.0487170587604,1.1810436250551e-13,5.16864058444945e-10,21.4309648317424,"FBgn0003900"
"FBgn0031940",2.23454561583701,7.88944171072663,23.5437597515588,2.27136379150274e-13,7.37908398262721e-10,20.9758196967885,"FBgn0031940"
"FBgn0267681",-3.97780104967406,1.09864400442705,-22.5779253871785,3.04992489605376e-13,7.37908398262721e-10,17.8070858136053,"FBgn0267681"
"FBgn0028544",1.62671007956526,4.08191680493773,22.4272564345732,3.37226779615837e-13,7.37908398262721e-10,20.4696567211798,"FBgn0028544"
"FBgn0038701",-1.21317496198011,5.78933163789438,-21.8031251450573,5.14828226369322e-13,9.65597112000403e-10,20.1980640868249,"FBgn0038701"
"FBgn0038319",1.29290019885916,4.16167991123359,20.8997039610362,9.69572825883957e-13,1.59119020387881e-09,19.502838109897,"FBgn0038319"
"FBgn0034592",1.54101706721669,4.29606137705642,19.4815029033218,2.76313832423639e-12,4.03080478432218e-09,18.5158357754201,"FBgn0034592"
"FBgn0263388",-1.87472621539533,1.39238765138128,-17.5974991381393,1.24587230315727e-11,1.49134132632825e-08,16.223428943787,"FBgn0263388"
"FBgn0261362",-1.6663976048076,4.60886196540759,-17.5940242881618,1.24950526236658e-11,1.49134132632825e-08,17.0544514379632,"FBgn0261362"
"FBgn0025115",2.5346400042165,3.88513756367202,18.8567834066328,1.38047334157235e-11,1.51035287512529e-08,16.9249823552939,"FBgn0025115"
"FBgn0085736",2.17952030602153,5.86336525750287,19.1394289743726,1.89430906220483e-11,1.91310643674517e-08,16.7229931963344,"FBgn0085736"
"FBgn0034382",-1.32086173813989,6.25254923407655,-16.9466780431817,2.16956296356589e-11,2.03458515347547e-08,16.5081716232527,"FBgn0034382"
"FBgn0036881",1.25284891853389,4.48530872829821,16.8623885487882,2.33443864223e-11,2.04325632892251e-08,16.43919280561,"FBgn0036881"
"FBgn0035933",-0.979130855957606,6.59036137231595,-16.5029733812603,3.20223731140408e-11,2.48496383453568e-08,16.1158337305773,"FBgn0035933"
