id,observed_on,time_observed_at,scientific_name,common_name,taxon_id
145591043,2023-01-01,2023-01-01 17:33:31 UTC,Mimus polyglottos,Northern Mockingbird,14886
145610149,2023-01-01,2023-01-01 20:55:00 UTC,Mergus merganser,Common Merganser,7004
145610383,2023-01-01,2023-01-01 21:13:00 UTC,Bucephala albeola,Bufflehead,6993
145611915,2023-01-01,2023-01-01 21:12:00 UTC,Passer domesticus,House Sparrow,13858
145611916,2023-01-01,2023-01-01 21:08:00 UTC,Sturnus vulgaris,European Starling,14850
145611918,2023-01-01,2023-01-01 20:49:00 UTC,Cardinalis cardinalis,Northern Cardinal,9083
145611919,2023-01-01,2023-01-01 20:48:00 UTC,Cardinalis cardinalis,Northern Cardinal,9083
145611920,2023-01-01,2023-01-01 20:51:00 UTC,Zenaida macroura,Mourning Dove,3454
145611922,2023-01-01,2023-01-01 20:46:00 UTC,Zenaida macroura,Mourning Dove,3454
145611923,2023-01-01,2023-01-01 20:45:00 UTC,Cyanocitta cristata,Blue Jay,8229
145611925,2023-01-01,2023-01-01 20:42:00 UTC,Anas rubripes,American Black Duck,6924
145611926,2023-01-01,2023-01-01 20:33:00 UTC,Anas platyrhynchos domesticus,Domestic Mallard,236935
145611927,2023-01-01,2023-01-01 20:28:00 UTC,Cygnus olor,Mute Swan,6921
145611928,2023-01-01,2023-01-01 20:27:00 UTC,Anas crecca,Green-winged Teal,6937
145611929,2023-01-01,2023-01-01 20:20:00 UTC,Turdus migratorius,American Robin,12727
145611935,2023-01-01,2023-01-01 20:12:00 UTC,Anas platyrhynchos,Mallard,6930
145611941,2023-01-01,2023-01-01 20:03:00 UTC,Ardea herodias,Great Blue Heron,4956
145611942,2023-01-01,2023-01-01 19:57:00 UTC,Buteo jamaicensis,Red-tailed Hawk,5212
145611946,2023-01-01,2023-01-01 20:23:00 UTC,Branta canadensis,Canada Goose,7089
145669870,2023-01-02,2023-01-02 15:40:23 UTC,Anas crecca,Green-winged Teal,6937
145670267,2023-01-02,2023-01-02 15:43:00 UTC,Anas platyrhynchos,Mallard,6930
145685325,2023-01-02,2023-01-02 18:27:00 UTC,Dryobates pubescens,Downy Woodpecker,792988
145687545,2023-01-02,2023-01-02 19:06:37 UTC,Aythya collaris,Ring-necked Duck,7044
145750074,2023-01-02,2023-01-02 18:14:00 UTC,Anas crecca,Green-winged Teal,6937
145773195,2023-01-03,2023-01-03 19:39:06 UTC,Meleagris gallopavo,Wild Turkey,906
145824305,2023-01-04,2023-01-04 12:57:19 UTC,Passer domesticus,House Sparrow,13858
145834779,2023-01-02,2023-01-02 19:42:23 UTC,Gavia immer,Common Loon,4626
145834781,2023-01-02,2023-01-02 20:03:41 UTC,Aythya collaris,Ring-necked Duck,7044
145834786,2023-01-02,2023-01-02 20:07:35 UTC,Podiceps auritus,Horned Grebe,4209
145834791,2023-01-02,2023-01-02 20:21:42 UTC,Aythya americana,Redhead,7056
145854559,2023-01-04,2023-01-04 17:44:00 UTC,Podiceps auritus,Horned Grebe,4209
145893200,2023-01-05,2023-01-05 13:50:11 UTC,Columba livia domestica,Feral Pigeon,122767
146094758,2023-01-07,2023-01-07 18:39:00 UTC,Aythya americana,Redhead,7056
146094760,2023-01-07,2023-01-07 18:39:00 UTC,Aythya collaris,Ring-necked Duck,7044
146138813,2023-01-08,2023-01-08 15:15:00 UTC,Turdus migratorius,American Robin,12727
146139038,2023-01-08,2023-01-08 15:18:00 UTC,Aythya collaris,Ring-necked Duck,7044
146139689,2023-01-08,2023-01-08 15:37:00 UTC,Mergus merganser,Common Merganser,7004
146140133,2023-01-08,2023-01-08 15:56:00 UTC,Sturnus vulgaris,European Starling,14850
146140204,2023-01-08,2023-01-08 16:00:00 UTC,Anas platyrhynchos,Mallard,6930
146140314,2023-01-08,2023-01-08 16:01:00 UTC,Anas platyrhynchos,Mallard,6930
146140564,2023-01-08,2023-01-08 16:02:00 UTC,Cyanocitta cristata,Blue Jay,8229
146141244,2023-01-08,2023-01-08 16:27:00 UTC,Bucephala albeola,Bufflehead,6993
146141571,2023-01-08,2023-01-08 16:22:00 UTC,Aythya collaris,Ring-necked Duck,7044
146141886,2023-01-08,2023-01-08 15:53:00 UTC,Gavia immer,Common Loon,4626
146142462,2023-01-08,2023-01-08 16:58:00 UTC,Mergus merganser,Common Merganser,7004
146142978,2023-01-08,2023-01-08 16:30:00 UTC,Podiceps auritus,Horned Grebe,4209
146143549,2023-01-08,2023-01-08 16:40:00 UTC,Aythya americana,Redhead,7056
146144077,2023-01-08,2023-01-08 16:52:00 UTC,Regulus satrapa,Golden-crowned Kinglet,117100
146144340,2023-01-08,2023-01-08 16:53:00 UTC,Cygnus olor,Mute Swan,6921
146144354,2023-01-08,2023-01-08 19:40:24 UTC,Melanerpes carolinus,Red-bellied Woodpecker,18205
146144469,2023-01-08,2023-01-08 16:54:00 UTC,Ardea herodias,Great Blue Heron,4956
146162301,2023-01-08,2023-01-08 15:43:44 UTC,Zenaida macroura,Mourning Dove,3454
146162305,2023-01-08,2023-01-08 15:40:38 UTC,Lophodytes cucullatus,Hooded Merganser,7109
146162318,2023-01-08,2023-01-08 15:36:56 UTC,Anas platyrhynchos,Mallard,6930
146162321,2023-01-08,2023-01-08 15:29:59 UTC,Passer domesticus,House Sparrow,13858
146162325,2023-01-08,2023-01-08 15:11:16 UTC,Megaceryle alcyon,Belted Kingfisher,2548
146162335,2023-01-08,2023-01-08 15:04:08 UTC,Agelaius phoeniceus,Red-winged Blackbird,9744
146162344,2023-01-08,2023-01-08 16:06:50 UTC,Mimus polyglottos,Northern Mockingbird,14886
146162351,2023-01-08,2023-01-08 15:54:39 UTC,Cygnus olor,Mute Swan,6921
146162354,2023-01-08,2023-01-08 15:50:38 UTC,Poecile atricapillus,Black-capped Chickadee,144815
146162359,2023-01-08,2023-01-08 15:45:33 UTC,Anas crecca,Green-winged Teal,6937
146220903,2023-01-09,2023-01-09 18:59:22 UTC,Oxyura jamaicensis,Ruddy Duck,850859
146220955,2023-01-09,2023-01-09 19:00:47 UTC,Aythya americana,Redhead,7056
146221012,2023-01-09,2023-01-09 19:10:43 UTC,Aythya collaris,Ring-necked Duck,7044
146222989,2023-01-08,2023-01-08 19:25:00 UTC,Haliaeetus leucocephalus,Bald Eagle,5305
146222992,2023-01-09,2023-01-09 19:48:32 UTC,Branta canadensis,Canada Goose,7089
146234888,2023-01-09,2023-01-09 15:06:19 UTC,Junco hyemalis,Dark-eyed Junco,10094
146234892,2023-01-09,2023-01-09 15:03:07 UTC,Cyanocitta cristata,Blue Jay,8229
146234897,2023-01-09,2023-01-09 15:02:04 UTC,Mimus polyglottos,Northern Mockingbird,14886
146234907,2023-01-09,2023-01-09 15:01:47 UTC,Passer domesticus,House Sparrow,13858
146234908,2023-01-09,2023-01-09 15:00:46 UTC,Passer domesticus,House Sparrow,13858
146234910,2023-01-09,2023-01-09 14:58:55 UTC,Thryothorus ludovicianus,Carolina Wren,7513
146238828,2023-01-09,2023-01-09 15:30:28 UTC,Cardinalis cardinalis,Northern Cardinal,9083
146238837,2023-01-09,2023-01-09 15:27:13 UTC,Haemorhous mexicanus,House Finch,199840
146238841,2023-01-09,2023-01-09 15:18:52 UTC,Sturnus vulgaris,European Starling,14850
146238843,2023-01-09,2023-01-09 15:18:11 UTC,Zonotrichia albicollis,White-throated Sparrow,9184
146238846,2023-01-09,2023-01-09 15:17:36 UTC,Junco hyemalis,Dark-eyed Junco,10094
146238848,2023-01-09,2023-01-09 15:14:35 UTC,Turdus migratorius,American Robin,12727
