target_id	length	eff_length	est_counts	tpm
TCONS_00000001	1809	1611.2	0	0
TCONS_00000002	1134	936.204	0	0
TCONS_00000003	1118	920.204	0	0
TCONS_00000004	1121	923.204	0	0
TCONS_00000131	792	594.718	0	0
TCONS_00000005	1429	1231.2	0	0
TCONS_00000006	1554	1356.2	0	0
TCONS_00000007	1662	1464.2	6.00886	0.166434
TCONS_00000132	1997	1799.2	0	0
TCONS_00000133	2118	1920.2	0	0
TCONS_00000134	2232	2034.2	0	0
TCONS_00000135	2175	1977.2	0	0
TCONS_00000136	2061	1863.2	0	0
TCONS_00000137	2169	1971.2	0	0
TCONS_00000138	2244	2046.2	0	0
TCONS_00000139	873	675.424	0	0
TCONS_00000140	786	588.718	0	0
TCONS_00000008	2451	2253.2	0	0
TCONS_00000009	2205	2007.2	0	0
TCONS_00000141	168	57.3923	0	0
TCONS_00000010	1314	1116.2	18.0856	0.657115
TCONS_00000142	639	443.187	0	0
TCONS_00000011	651	454.91	0	0
TCONS_00000143	1851	1653.2	0	0
TCONS_00000144	2466	2268.2	0	0
TCONS_00000145	2367	2169.2	0	0
TCONS_00000146	2433	2235.2	0	0
TCONS_00000147	1641	1443.2	0	0
TCONS_00000148	1989	1791.2	0	0
TCONS_00000012	171	59.1276	0	0
TCONS_00000013	270	121.162	0	0
TCONS_00000014	165	55.8434	0	0
TCONS_00000015	592	397.324	1.03985	0.10614
TCONS_00000016	579	384.628	0	0
TCONS_00000017	171	59.1276	0	0
TCONS_00000018	270	121.162	0	0
TCONS_00000019	165	55.8434	0	0
TCONS_00000149	270	121.162	0	0
TCONS_00000150	268	119.8	0	0
TCONS_00000151	356	185.023	0	0
TCONS_00000152	391	214.193	0	0
TCONS_00000153	180	64.2178	0	0
TCONS_00000154	105	28.5931	0	0
TCONS_00000155	191	70.7091	0	0
TCONS_00000156	86	21.9058	0	0
TCONS_00000020	602	407.116	0	0
TCONS_00000021	217	86.2823	0	0
TCONS_00000022	169	57.9641	0	0
TCONS_00000023	278	126.784	0	0
TCONS_00000024	65	14.1625	0	0
TCONS_00000025	361	189.132	0	0
TCONS_00000026	270	121.162	1.67322	0.560066
TCONS_00000027	180	64.2178	0	0
TCONS_00000028	398	219.96	0	0
TCONS_00000029	391	214.193	1.72146	0.325945
TCONS_00000030	86	21.9058	0	0
TCONS_00000031	356	185.023	0	0
TCONS_00000032	270	121.162	0	0
TCONS_00000033	165	55.8434	0.926115	0.672582
TCONS_00000034	180	64.2178	0	0
TCONS_00000035	398	219.96	0	0
TCONS_00000036	391	214.193	1.71034	0.32384
TCONS_00000037	86	21.9058	0	0
TCONS_00000038	356	185.023	0	0
TCONS_00000039	165	55.8434	0.929014	0.674687
TCONS_00000040	160	53.0806	0	0
TCONS_00000041	398	219.96	0	0
TCONS_00000042	391	214.193	0	0
TCONS_00000043	86	21.9058	0	0
TCONS_00000044	356	185.023	0	0
TCONS_00000045	105	28.5931	0	0
TCONS_00000046	165	55.8434	0	0
TCONS_00000047	316	153.163	0	0
TCONS_00000048	270	121.162	0	0
TCONS_00000049	125	37.0904	0	0
TCONS_00000050	401	222.499	0	0
TCONS_00000051	276	125.406	0	0
TCONS_00000052	165	55.8434	0	0
TCONS_00000053	3057	2859.2	0	0
TCONS_00000054	2442	2244.2	1.00487	0.0181593
TCONS_00000157	906	708.283	0	0
TCONS_00000158	1080	882.204	0	0
TCONS_00000159	1245	1047.2	0	0
TCONS_00000055	1408	1210.2	0	0
TCONS_00000056	1303	1105.2	0	0
TCONS_00000057	1444	1246.2	0	0
TCONS_00000160	1068	870.204	0	0
TCONS_00000058	1926	1728.2	0	0
TCONS_00000059	1896	1698.2	0	0
TCONS_00000060	1842	1644.2	0	0
TCONS_00000061	1794	1596.2	0	0
TCONS_00000062	1764	1566.2	0	0
TCONS_00000063	1710	1512.2	0	0
TCONS_00000064	1680	1482.2	0	0
TCONS_00000065	1746	1548.2	0	0
TCONS_00000066	1614	1416.2	0	0
TCONS_00000161	1170	972.204	0	0
TCONS_00000162	303	143.889	0	0
TCONS_00000163	441	256.838	0.544402	0.0859633
