TCONS_00000001	gene-SNX18_gGal-2
TCONS_00000002	gene-LOC116806879_tGut-like-2
TCONS_00000004	gene-KCMF1_gGal-like-1
TCONS_00000003	gene-KCMF1_gGal-like-1
TCONS_00000005	gene-ATP5F1AW_gGal-like-2
TCONS_00000007	gene-ATP5F1AW_gGal-like-2
TCONS_00000006	gene-ATP5F1AW_gGal-like-2
TCONS_00000008	gene-UHRF2_tGut-1
TCONS_00000009	gene-UHRF2_tGut-1
TCONS_00000010	gene-RICTOR_tGut-2
TCONS_00000011	gene-TMED7_tGut-1
TCONS_00000012	gene-HINT1_tGut-like-2
TCONS_00000013	gene-HINT1_tGut-like-2
TCONS_00000014	gene-HINT1_tGut-like-2
TCONS_00000015	gene-HINT1_tGut-like-9
TCONS_00000016	gene-HINT1_tGut-like-9
TCONS_00000017	gene-HINT1_tGut-like-9
TCONS_00000018	gene-HINT1_tGut-like-9
TCONS_00000019	gene-HINT1_tGut-like-9
TCONS_00000020	gene-HINT1_tGut-like-5
TCONS_00000022	gene-HINT1_tGut-like-5
TCONS_00000021	gene-HINT1_tGut-like-5
TCONS_00000023	gene-HINT1_tGut-like-5
TCONS_00000024	gene-HINT1_tGut-like-5
TCONS_00000025	gene-HINT1_tGut-like-5
TCONS_00000026	gene-LOC100189940_tGut-like-3
TCONS_00000027	gene-HINT1_tGut-like-8
TCONS_00000028	gene-HINT1_tGut-like-8
TCONS_00000029	gene-HINT1_tGut-like-8
TCONS_00000030	gene-HINT1_tGut-like-8
TCONS_00000031	gene-LOC100189940_tGut-like-5
TCONS_00000032	gene-LOC100189940_tGut-like-5
TCONS_00000033	gene-LOC100189940_tGut-like-5
TCONS_00000034	gene-HINT1_tGut-like-6
TCONS_00000035	gene-HINT1_tGut-like-6
TCONS_00000036	gene-HINT1_tGut-like-6
TCONS_00000037	gene-HINT1_tGut-like-6
TCONS_00000038	gene-LOC100189940_tGut-like-2
TCONS_00000039	gene-LOC100189940_tGut-like-2
TCONS_00000040	gene-HINT1_tGut-like-3
TCONS_00000041	gene-HINT1_tGut-like-3
TCONS_00000042	gene-HINT1_tGut-like-3
TCONS_00000043	gene-HINT1_tGut-like-3
TCONS_00000044	gene-HINT1_tGut-like-3
TCONS_00000045	gene-HINT1_tGut-like-3
TCONS_00000046	gene-HINT1_tGut-like-3
TCONS_00000048	gene-HINT1_tGut-like-1
TCONS_00000047	gene-HINT1_tGut-like-1
TCONS_00000049	gene-LOC100857579_gGal-like-2
TCONS_00000050	gene-HINT1_tGut-like-1
TCONS_00000051	gene-HINT1_tGut-like-1
TCONS_00000052	gene-HINT1_tGut-like-1
TCONS_00000053	gene-RASA1_gGal-like-1
TCONS_00000054	gene-RASA1_gGal-like-1
TCONS_00000055	gene-TMEM161B_tGut-2
TCONS_00000057	gene-TMEM161B_tGut-2
TCONS_00000056	gene-TMEM161B_tGut-2
TCONS_00000060	gene-CTIF_tGut-2
TCONS_00000062	gene-CTIF_tGut-2
TCONS_00000064	gene-CTIF_tGut-2
TCONS_00000063	gene-CTIF_tGut-2
TCONS_00000061	gene-CTIF_tGut-2
TCONS_00000059	gene-CTIF_tGut-2
TCONS_00000058	gene-CTIF_tGut-2
TCONS_00000066	gene-CTIF_tGut-2
TCONS_00000065	gene-CTIF_tGut-2
TCONS_00000067	gene-MIER3_tGut-like-2
TCONS_00000069	gene-MIER3_tGut-like-2
TCONS_00000068	gene-MIER3_tGut-like-2
TCONS_00000070	gene-MIER3_tGut-like-2
TCONS_00000071	gene-MIER3_tGut-like-2
TCONS_00000072	gene-MIER3_gGal-like-2
TCONS_00000073	gene-HMGCS1_tGut-1
TCONS_00000074	gene-DCAF12_tGut-1
TCONS_00000075	gene-DCAF12_tGut-1
TCONS_00000077	gene-UBAP2_gGal-like-2
TCONS_00000076	gene-UBAP2_gGal-like-2
TCONS_00000081	gene-UBAP2_gGal-like-2
TCONS_00000080	gene-UBAP2_gGal-like-2
TCONS_00000079	gene-UBAP2_gGal-like-2
TCONS_00000078	gene-UBAP2_tGut-like-1
TCONS_00000083	gene-UBAP2L2_gGal-like-2
TCONS_00000082	gene-UBAP2L2_gGal-like-2
TCONS_00000085	gene-UBAP2L2_gGal-like-2
TCONS_00000084	gene-UBAP2_tGut-like-1
TCONS_00000087	gene-UBAP2_gGal-like-2
TCONS_00000086	gene-UBAP2_gGal-like-2
TCONS_00000088	gene-BTF3_gGal-like-1
TCONS_00000091	gene-LOC116806871_tGut-like-2
TCONS_00000090	gene-LOC116806871_tGut-like-2
TCONS_00000089	gene-LOC116806871_tGut-like-2
TCONS_00000092	gene-SCAMP1_tGut-2
TCONS_00000093	gene-SCAMP1_tGut-2
TCONS_00000096	gene-CHD1_tGut-3
TCONS_00000098	gene-CHD1_tGut-3
TCONS_00000100	gene-CHD1_tGut-3
TCONS_00000102	gene-CHD1_tGut-3
TCONS_00000101	gene-CHD1_tGut-3
TCONS_00000099	gene-CHD1_tGut-3
TCONS_00000097	gene-CHD1_tGut-3
TCONS_00000095	gene-CHD1_tGut-3
TCONS_00000094	gene-CHD1_tGut-3
TCONS_00000103	gene-CHD1_tGut-3
TCONS_00000106	gene-HNRNPK_gGal-like-1
TCONS_00000105	gene-HNRNPKL_gGal-like-1
TCONS_00000104	gene-HNRNPK_gGal-like-1
TCONS_00000109	gene-HNRNPKL_gGal-like-1
TCONS_00000108	gene-HNRNPK_gGal-like-1
TCONS_00000107	gene-HNRNPKL_gGal-like-1
TCONS_00000112	gene-UBQLN1_tGut-2
TCONS_00000114	gene-UBQLN1_tGut-2
