target_id	length	eff_length	est_counts	tpm
TCONS_00000001	1809	1566.59	85	2.62097
TCONS_00000002	1134	891.591	996.045	53.9649
TCONS_00000003	1118	875.591	0	0
TCONS_00000004	1121	878.591	20.6699	1.13645
TCONS_00000131	792	551.66	6	0.525385
TCONS_00000005	1429	1186.59	0	0
TCONS_00000006	1554	1311.59	32.7549	1.20636
TCONS_00000007	1662	1419.59	14395.4	489.846
TCONS_00000132	1997	1754.59	0	0
TCONS_00000133	2118	1875.59	327.423	8.43275
TCONS_00000134	2232	1989.59	188.787	4.58359
TCONS_00000135	2175	1932.59	20.183	0.50448
TCONS_00000136	2061	1818.59	32.4375	0.861608
TCONS_00000137	2169	1926.59	41.5374	1.04147
TCONS_00000138	2244	2001.59	61.4626	1.48332
TCONS_00000139	873	631.602	113.12	8.65156
TCONS_00000140	786	545.747	5.87989	0.520446
TCONS_00000008	2451	2208.59	235	5.13985
TCONS_00000009	2205	1962.59	0	0
TCONS_00000141	168	49.6731	0	0
TCONS_00000010	1314	1071.59	28.0709	1.26539
TCONS_00000142	639	403.969	215	25.7092
TCONS_00000011	651	415.336	338	39.3111
TCONS_00000143	1851	1608.59	448	13.4533
TCONS_00000144	2466	2223.59	14.7944	0.321396
TCONS_00000145	2367	2124.59	7.10312	0.1615
TCONS_00000146	2433	2190.59	224.102	4.94178
TCONS_00000147	1641	1398.59	1229.37	42.4611
TCONS_00000148	1989	1746.59	564.235	15.6051
TCONS_00000012	171	51.1329	0	0
TCONS_00000013	270	104.985	751.214	345.648
TCONS_00000014	165	48.4538	0	0
TCONS_00000015	592	360.702	221.334	29.6414
TCONS_00000016	579	348.737	0	0
TCONS_00000017	171	51.1329	0	0
TCONS_00000018	270	104.985	751.214	345.648
TCONS_00000019	165	48.4538	0	0
TCONS_00000149	270	104.985	0	0
TCONS_00000150	268	103.652	12.1236	5.65002
TCONS_00000151	356	163.565	0	0
TCONS_00000152	391	189.781	861.737	219.341
TCONS_00000153	180	55.4146	0	0
TCONS_00000154	105	25.8692	0	0
TCONS_00000155	191	60.9441	0	0
TCONS_00000156	86	19.4589	0	0
TCONS_00000020	602	369.738	22.2953	2.91284
TCONS_00000021	217	74.2685	12.3626	8.04091
TCONS_00000022	169	50.1463	0.979879	0.943911
TCONS_00000023	278	110.316	50.2344	21.9969
TCONS_00000024	65	13.389	0	0
TCONS_00000025	361	167.175	385.696	111.448
TCONS_00000026	270	104.985	0	0
TCONS_00000027	180	55.4146	0	0
TCONS_00000028	398	195.023	7.46889	1.84999
TCONS_00000029	391	189.781	1871.52	476.365
TCONS_00000030	86	19.4589	0	0
TCONS_00000031	356	163.565	0	0
TCONS_00000032	270	104.985	0	0
TCONS_00000033	165	48.4538	0	0
TCONS_00000034	180	55.4146	0	0
TCONS_00000035	398	195.023	31.7153	7.85563
TCONS_00000036	391	189.781	1645.33	418.793
TCONS_00000037	86	19.4589	0	0
TCONS_00000038	356	163.565	0	0
TCONS_00000039	165	48.4538	0	0
TCONS_00000040	160	46.5643	34.866	36.1698
TCONS_00000041	398	195.023	12.1067	2.99873
TCONS_00000042	391	189.781	1328.8	338.226
TCONS_00000043	86	19.4589	0	0
TCONS_00000044	356	163.565	0	0
TCONS_00000045	105	25.8692	0	0
TCONS_00000046	165	48.4538	0	0
TCONS_00000047	316	135.32	0	0
TCONS_00000048	270	104.985	1	0.46012
TCONS_00000049	125	33.0451	0	0
TCONS_00000050	401	197.362	0	0
TCONS_00000051	276	108.873	3.00138	1.33167
TCONS_00000052	165	48.4538	0	0
TCONS_00000053	3057	2814.59	466.81	8.01167
TCONS_00000054	2442	2199.59	121.899	2.67705
TCONS_00000157	906	664.294	0	0
TCONS_00000158	1080	837.591	214.423	12.3662
TCONS_00000159	1245	1002.59	237	11.4189
TCONS_00000055	1408	1165.59	189.965	7.87274
TCONS_00000056	1303	1060.59	2.03491	0.0926818
TCONS_00000057	1444	1201.59	0	0
TCONS_00000160	1068	825.591	155.637	9.10636
TCONS_00000058	1926	1683.59	20.7055	0.594082
TCONS_00000059	1896	1653.59	3.33054	0.0972936
TCONS_00000060	1842	1599.59	0	0
TCONS_00000061	1794	1551.59	81.1874	2.5276
TCONS_00000062	1764	1521.59	13.2405	0.420344
TCONS_00000063	1710	1467.59	0	0
TCONS_00000064	1680	1437.59	0	0
TCONS_00000065	1746	1503.59	0	0
TCONS_00000066	1614	1371.59	0	0
TCONS_00000161	1170	927.591	71.8985	3.74422
TCONS_00000162	303	126.874	767	292.025
TCONS_00000163	441	228.774	0	0
