target_id	length	eff_length	est_counts	tpm
TCONS_00000001	1809	1569.8	0	0
TCONS_00000002	1134	894.798	3.09541	0.146875
TCONS_00000003	1118	878.798	0	0
TCONS_00000004	1121	881.798	0	0
TCONS_00000131	792	555.164	0	0
TCONS_00000005	1429	1189.8	7.01949	0.250489
TCONS_00000006	1554	1314.8	0	0
TCONS_00000007	1662	1422.8	0	0
TCONS_00000132	1997	1757.8	0	0
TCONS_00000133	2118	1878.8	0	0
TCONS_00000134	2232	1992.8	0	0
TCONS_00000135	2175	1935.8	0	0
TCONS_00000136	2061	1821.8	0	0
TCONS_00000137	2169	1929.8	0	0
TCONS_00000138	2244	2004.8	0	0
TCONS_00000139	873	634.706	0	0
TCONS_00000140	786	549.261	0	0
TCONS_00000008	2451	2211.8	0	0
TCONS_00000009	2205	1965.8	1	0.0215982
TCONS_00000141	168	53.4582	1	0.794221
TCONS_00000010	1314	1074.8	48.0698	1.8989
TCONS_00000142	639	408.373	0	0
TCONS_00000011	651	419.695	0	0
TCONS_00000143	1851	1611.8	0	0
TCONS_00000144	2466	2226.8	0	0
TCONS_00000145	2367	2127.8	0	0
TCONS_00000146	2433	2193.8	0	0
TCONS_00000147	1641	1401.8	0	0
TCONS_00000148	1989	1749.8	0	0
TCONS_00000012	171	54.8692	0	0
TCONS_00000013	270	110.26	0	0
TCONS_00000014	165	52.109	0	0
TCONS_00000015	592	365.236	0	0
TCONS_00000016	579	353.429	0	0
TCONS_00000017	171	54.8692	0	0
TCONS_00000018	270	110.26	0	0
TCONS_00000019	165	52.109	0	0
TCONS_00000149	270	110.26	0	0
TCONS_00000150	268	108.972	0	0
TCONS_00000151	356	169.249	0	0
TCONS_00000152	391	195.339	0	0
TCONS_00000153	180	59.116	0	0
TCONS_00000154	105	27.3265	0	0
TCONS_00000155	191	64.941	0	0
TCONS_00000156	86	20.8045	0	0
TCONS_00000020	602	374.308	0	0
TCONS_00000021	217	78.4836	0	0
TCONS_00000022	169	53.9724	0	0
TCONS_00000023	278	115.657	0	0
TCONS_00000024	65	14.3265	0	0
TCONS_00000025	361	172.997	0	0
TCONS_00000026	270	110.26	0	0
TCONS_00000027	180	59.116	0	0
TCONS_00000028	398	200.543	0	0
TCONS_00000029	391	195.339	0	0
TCONS_00000030	86	20.8045	0	0
TCONS_00000031	356	169.249	0	0
TCONS_00000032	270	110.26	0	0
TCONS_00000033	165	52.109	0	0
TCONS_00000034	180	59.116	0	0
TCONS_00000035	398	200.543	0	0
TCONS_00000036	391	195.339	0	0
TCONS_00000037	86	20.8045	0	0
TCONS_00000038	356	169.249	0	0
TCONS_00000039	165	52.109	0	0
TCONS_00000040	160	49.964	0	0
TCONS_00000041	398	200.543	0	0
TCONS_00000042	391	195.339	0	0
TCONS_00000043	86	20.8045	0	0
TCONS_00000044	356	169.249	0	0
TCONS_00000045	105	27.3265	0	0
TCONS_00000046	165	52.109	0	0
TCONS_00000047	316	140.587	0	0
TCONS_00000048	270	110.26	0	0
TCONS_00000049	125	34.9523	0	0
TCONS_00000050	401	202.825	0	0
TCONS_00000051	276	114.343	0	0
TCONS_00000052	165	52.109	0	0
TCONS_00000053	3057	2817.8	0	0
TCONS_00000054	2442	2202.8	0	0
TCONS_00000157	906	667.449	0	0
TCONS_00000158	1080	840.798	0	0
TCONS_00000159	1245	1005.8	0	0
TCONS_00000055	1408	1168.8	0	0
TCONS_00000056	1303	1063.8	0	0
TCONS_00000057	1444	1204.8	0	0
TCONS_00000160	1068	828.798	0	0
TCONS_00000058	1926	1686.8	0	0
TCONS_00000059	1896	1656.8	0	0
TCONS_00000060	1842	1602.8	0	0
TCONS_00000061	1794	1554.8	0	0
TCONS_00000062	1764	1524.8	0	0
TCONS_00000063	1710	1470.8	0	0
TCONS_00000064	1680	1440.8	0	0
TCONS_00000065	1746	1506.8	0	0
TCONS_00000066	1614	1374.8	0	0
TCONS_00000161	1170	930.798	0	0
TCONS_00000162	303	132.078	0	0
TCONS_00000163	441	234.533	2.00058	0.362165
