target_id	length	eff_length	est_counts	tpm
TCONS_00000001	1809	1562.12	103.85	4.53481
TCONS_00000002	1134	887.124	621.574	47.7945
TCONS_00000003	1118	871.124	0	0
TCONS_00000004	1121	874.124	15.3314	1.1964
TCONS_00000131	792	547.752	1	0.124533
TCONS_00000005	1429	1182.12	0	0
TCONS_00000006	1554	1307.12	32.1204	1.67623
TCONS_00000007	1662	1415.12	7227.19	348.373
TCONS_00000132	1997	1750.12	1.0695	0.0416852
TCONS_00000133	2118	1871.12	301.479	10.9907
TCONS_00000134	2232	1985.12	724.869	24.9082
TCONS_00000135	2175	1928.12	72.3631	2.56007
TCONS_00000136	2061	1814.12	22.5556	0.848119
TCONS_00000137	2169	1922.12	92.8155	3.29389
TCONS_00000138	2244	1997.12	139.184	4.75396
TCONS_00000139	873	626.995	109.538	11.9171
TCONS_00000140	786	541.945	23.4622	2.95313
TCONS_00000008	2451	2204.12	119	3.68282
TCONS_00000009	2205	1958.12	0	0
TCONS_00000141	168	51.6624	0	0
TCONS_00000010	1314	1067.12	40	2.55691
TCONS_00000142	639	402.201	257	43.5873
TCONS_00000011	651	413.297	176	29.0483
TCONS_00000143	1851	1604.12	496	21.0918
TCONS_00000144	2466	2219.12	867.185	26.6563
TCONS_00000145	2367	2120.12	15.2779	0.491557
TCONS_00000146	2433	2186.12	351.785	10.9767
TCONS_00000147	1641	1394.12	591.413	28.9374
TCONS_00000148	1989	1742.12	744.59	29.1547
TCONS_00000012	171	53.1756	0	0
TCONS_00000013	270	108.184	385.435	243.028
TCONS_00000014	165	50.221	0	0
TCONS_00000015	592	359.055	133.863	25.4314
TCONS_00000016	579	347.535	1.38998	0.272823
TCONS_00000017	171	53.1756	0	0
TCONS_00000018	270	108.184	385.435	243.028
TCONS_00000019	165	50.221	0	0
TCONS_00000149	270	108.184	0	0
TCONS_00000150	268	106.804	4.96579	3.17154
TCONS_00000151	356	166.459	0	0
TCONS_00000152	391	192.43	277.053	98.2107
TCONS_00000153	180	57.9553	0	0
TCONS_00000154	105	26.4384	0	0
TCONS_00000155	191	63.2189	0	0
TCONS_00000156	86	20.4197	0	0
TCONS_00000020	602	368.24	32.911	6.0965
TCONS_00000021	217	76.6354	0	0
TCONS_00000022	169	52.164	2.31914	3.03268
TCONS_00000023	278	112.876	35.0483	21.1805
TCONS_00000024	65	13.8638	0	0
TCONS_00000025	361	169.898	217.336	87.2596
TCONS_00000026	270	108.184	0	0
TCONS_00000027	180	57.9553	0	0
TCONS_00000028	398	197.759	0	0
TCONS_00000029	391	192.43	324.623	115.074
TCONS_00000030	86	20.4197	0	0
TCONS_00000031	356	166.459	0	0
TCONS_00000032	270	108.184	0	0
TCONS_00000033	165	50.221	0	0
TCONS_00000034	180	57.9553	0	0
TCONS_00000035	398	197.759	12.496	4.31026
TCONS_00000036	391	192.43	1001.98	355.185
TCONS_00000037	86	20.4197	0	0
TCONS_00000038	356	166.459	0	0
TCONS_00000039	165	50.221	0	0
TCONS_00000040	160	47.8925	30.0775	42.8394
TCONS_00000041	398	197.759	11.4162	3.93781
TCONS_00000042	391	192.43	562.652	199.451
TCONS_00000043	86	20.4197	0	0
TCONS_00000044	356	166.459	0	0
TCONS_00000045	105	26.4384	0	0
TCONS_00000046	165	50.221	0	0
TCONS_00000047	316	137.938	0	0
TCONS_00000048	270	108.184	0	0
TCONS_00000049	125	34.0687	0	0
TCONS_00000050	401	199.981	0	0
TCONS_00000051	276	111.752	2	1.22081
TCONS_00000052	165	50.221	0	0
TCONS_00000053	3057	2810.12	283.297	6.8768
TCONS_00000054	2442	2195.12	190.013	5.90464
TCONS_00000157	906	659.615	0.573164	0.0592732
TCONS_00000158	1080	833.124	453.535	37.1339
TCONS_00000159	1245	998.124	231.411	15.815
TCONS_00000055	1408	1161.12	84	4.93481
TCONS_00000056	1303	1056.12	0	0
TCONS_00000057	1444	1197.12	0	0
TCONS_00000160	1068	821.124	217.336	18.0548
TCONS_00000058	1926	1679.12	0	0
TCONS_00000059	1896	1649.12	0	0
TCONS_00000060	1842	1595.12	0	0
TCONS_00000061	1794	1547.12	231.09	10.1889
TCONS_00000062	1764	1517.12	48.1757	2.16609
TCONS_00000063	1710	1463.12	0	0
TCONS_00000064	1680	1433.12	0	0
TCONS_00000065	1746	1499.12	0	0
TCONS_00000066	1614	1367.12	0	0
TCONS_00000161	1170	923.124	52	3.84249
TCONS_00000162	303	128.715	353	187.075
TCONS_00000163	441	231.027	0	0
